model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5484834402185976,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.01517396718880948,0.03832211533695817,0.2292943375591806,0.07651655978140237,0.03484989311473574,0.118183226448069,0.21515010688526431,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,5091642889372354600.0,50,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5658494936664668,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.22350235818538478,0.2964190248520515,0.29526161744464485,0.3924838396668666,0.5658494936664668,0.06584949366646675,0.5102939381109117,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,5091642889372354600.0,50,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5459007963725042,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.01580820377991177,0.00155290733119939,0.28743253696082915,0.07909920362749578,0.07909920362749578,0.39854364807194076,0.2125674630391709,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,5091642889372354600.0,50,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5309392734020322,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.19529112525388387,0.12700408821684722,0.03093927340203217,0.07260594006869886,0.26072739326463445,0.1912829488201896,0.03093927340203217,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,5091642889372354600.0,50,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5432917927284482,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.02036561467895892,0.04351376282710762,0.23448598504933005,0.08170820727155181,0.04004154060488518,0.12337487393821844,0.20995845939511487,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,6579312008936010800.0,55,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5567293138460154,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.2326225380058361,0.30553920467250284,0.3043817972650962,0.40160401948731794,0.5567293138460154,0.05672931384601543,0.5011737582904604,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,6579312008936010800.0,55,false
consensus,heterogeneous,22,149,0,2,2,0.7222222222222218,0.6666666666666666,0.625,0.944444444444445,0.3333333333333333,0.5300925925925924,0.0,0.5412933921519893,0.8333333333333334,0.625,0.625,0.944444444444445,0.3333333333333333,0.5474537037037036,0.6722222222222224,0.0112007995593969,0.00616031155171426,0.292039941181344,0.08370660784801065,0.08370660784801065,0.4031510522924556,0.20796005881865604,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,6579312008936010800.0,55,false
consensus,heterogeneous,22,150,0,2,2,0.5,0.16666666666666666,0.7083333333333334,0.7222222222222218,0.555555555555555,0.3356481481481483,0.0,0.5297164508814698,0.5,0.4583333333333333,0.7916666666666666,0.7222222222222218,0.5,0.40393518518518495,0.5944444444444443,0.19406830273332148,0.12578126569628484,0.02971645088146979,0.07138311754813648,0.26195021578519684,0.19250577134075197,0.02971645088146979,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,6579312008936010800.0,55,false
consensus,heterogeneous,22,147,1,2,2,0.805555555555555,0.5416666666666666,0.5833333333333334,0.6111111111111116,0.44444444444444503,0.5636574074074071,0.0,0.5447170207025991,0.7777777777777782,0.625,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5868055555555558,0.5972222222222223,-0.01894038670480802,0.04208853485295672,0.23306075707517915,0.08028297929740091,0.03861631263073428,0.12194964596406754,0.21138368736926577,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,618952398593468420.0,60,false
consensus,heterogeneous,22,148,1,2,2,0.7222222222222218,0.9166666666666666,0.0,0.6111111111111116,0.11111111111111167,0.7893518518518515,0.0,0.5551147183906266,0.8611111111111116,0.9583333333333334,0.0,0.5,0.05555555555555499,0.8622685185185183,0.475,-0.23423713346122488,0.3071538001278916,0.30599639272048496,0.4032186149427067,0.5551147183906266,0.05511471839062665,0.4995591628350717,0.1,0.6,0.6,0.1,0.1,0.6,0.6,0.1,618952398593468420.0,60,false
