selected_debate_id,current_condition,use_heterogeneous_agents,mae_mean,mae_min,best_model
22,homogeneous,false,0.0351272118985039,0.0345220028374668,consensus
54,homogeneous,true,0.03788753712838295,0.0376743545403547,consensus
40,heterogeneous,true,0.04359027496112505,0.0431331466568497,consensus
43,homogeneous,false,0.04496436689295375,0.0433948476188585,consensus
43,homogeneous,true,0.04531588192818385,0.0435970803898786,clustering
40,heterogeneous,false,0.04570068061365706,0.0451223384941368,consensus
31,homogeneous,false,0.049256566436744996,0.0471065833770436,consensus
11,homogeneous,true,0.0586374334008201,0.0553236514049205,consensus
30,homogeneous,false,0.0606926110701207,0.0575152844251881,consensus
39,homogeneous,false,0.06308375396841973,0.062038299014983,consensus
