model_type,current_condition,selected_debate_id,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,homophily_strength,convergence_cycle,use_distinct_agents
clustering,heterogeneous,46,221,1,2,2,0.694444444444445,0.75,0.2916666666666667,0.44444444444444503,0.27777777777777835,0.6921296296296297,0.0,0.6002678044434825,0.694444444444445,0.7916666666666666,0.375,0.38888888888888834,0.38888888888888834,0.6793981481481484,0.5277777777777777,-0.09186182518614716,0.07913034370466587,0.09417664000096249,0.19139886222318414,0.2252678044434825,0.21137891555459415,0.21137891555459415,0.4029684412709559,0.6474790556675859,0.06633824731837687,0.26974373807578234,0.4,0.5,0.0,0.2,7139002048363152400.0,1.0,20,true
clustering,heterogeneous,46,222,1,2,2,0.7777777777777782,0.625,0.125,0.944444444444445,0.05555555555555499,0.6631944444444445,0.0,0.5996020208879006,0.7777777777777782,0.7916666666666666,0.125,1.0,0.11111111111111167,0.6863425925925926,0.5611111111111112,-0.06359242355654393,0.08674057170469196,0.17817575688987763,0.19206464577876603,0.4746020208879006,0.4003979791120994,0.48849090977678894,0.7104404181991617,0.48350397600628114,0.16592595662958332,0.18806287733795257,0.4,0.5,0.0,0.2,7139002048363152400.0,1.0,20,true
clustering,heterogeneous,46,223,0,2,2,0.44444444444444503,0.4583333333333333,0.5,0.8888888888888884,0.38888888888888834,0.4293981481481484,0.0,0.5951298956686663,0.555555555555555,0.4583333333333333,0.5,0.944444444444445,0.27777777777777835,0.4664351851851851,0.5472222222222223,0.16573174752051784,0.12869471048348113,0.03957434011311123,0.13679656233533294,0.09512989566866625,0.3493145487757787,0.3173521178908879,0.32364947489488893,0.4361697289270424,0.01,0.19733655580515982,0.4,0.5,0.0,0.2,7139002048363152400.0,1.0,20,true
clustering,heterogeneous,46,224,0,2,2,0.6111111111111116,0.7916666666666666,0.4166666666666667,0.5,0.3333333333333333,0.6423611111111112,0.0,0.6083307102413837,0.6388888888888884,0.75,0.375,0.5,0.38888888888888834,0.6365740740740742,0.5305555555555553,-0.03403040086972742,0.02824336383269044,0.03055817864750465,0.14166928975861626,0.23333071024138374,0.10833071024138374,0.2194418213524954,0.1338595210144296,0.5245248489458724,0.06218679502996782,0.21497595642533573,0.4,0.5,0.0,0.2,7139002048363152400.0,1.0,20,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5156185163067664,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.19155740961915957,0.18229815035990027,0.37327037258212203,0.27604815035990027,0.18228518297343305,0.15104815035990027,0.18228518297343305,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,7139002048363152400.0,0.3,25,true
clustering,heterogeneous,41,200,1,1,2,0.8611111111111116,0.7916666666666666,0.2916666666666667,0.6111111111111116,0.3333333333333333,0.7071759259259259,0.0,0.5260978313101583,0.8888888888888884,0.7916666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6979166666666666,0.6027777777777776,-0.18107809461576763,0.17181883535650833,0.3627910575787301,0.2655688353565083,0.192764497976825,0.14056883535650833,0.192764497976825,0.3,0.6212185835013789,0.5663382473183769,0.1697437380757823,0.3,0.4,0.5,0.1,4477927936947039200.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5111857011978698,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.10725051601268443,0.05285236786453634,0.09992540991324184,0.0721476321354636,0.13618570119786977,0.48881429880213023,0.15548096546879686,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,7139002048363152400.0,0.3,25,true
clustering,heterogeneous,41,201,0,1,2,0.6111111111111116,0.5416666666666666,0.75,1.0,0.555555555555555,0.40393518518518534,0.0,0.5216650162012618,0.6111111111111116,0.5833333333333334,0.375,1.0,0.6666666666666666,0.4583333333333334,0.6472222222222224,0.11772983101607648,0.0633316828679284,0.08944609490984978,0.06166831713207155,0.14666501620126182,0.4783349837987382,0.1450016504654048,0.3,0.37525596400942174,0.6659259566295833,0.08806287733795257,0.3,0.4,0.5,0.1,4477927936947039200.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5121839305544533,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.03996170833223101,0.03301726388778675,0.0433716250011017,0.32114940277888004,0.0294827361122133,0.43226051388999165,0.21003829166776844,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,7139002048363152400.0,0.3,25,true
clustering,heterogeneous,41,202,0,1,2,0.44444444444444503,0.6666666666666666,0.5,0.944444444444445,0.38888888888888834,0.4722222222222223,0.0,0.5226632455578454,0.555555555555555,0.8333333333333334,0.5416666666666666,0.944444444444445,0.7222222222222218,0.4791666666666666,0.7194444444444443,0.05044102333562306,0.04349657889117881,0.03289230999770965,0.310670087775488,0.01900342110882125,0.4217811988865996,0.1995589766643764,0.3,0.3042545933905637,0.44488935304406363,0.09733655580515983,0.3,0.4,0.5,0.1,4477927936947039200.0,0.3,25,true
