model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,homophily_strength
clustering,heterogeneous,46,2,2,0.4,0.5,0.0,0.2,true,0.2,0.2,0.1,0.05,7139002048363152400.0,20,true,0.0,0.08070224743138235,0.00002264395321353,0.00001534137168693,2,2,-0.5,0.25,1.0
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,7139002048363152400.0,25,true,0.0,0.08938926070407445,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,4477927936947039200.0,25,true,0.0,0.09288236570520518,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,4692690466958798800.0,25,true,0.0,0.1132911022688382,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,5702577027890589700.0,25,true,0.0,0.08989095169823114,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,7043372089166577700.0,25,true,0.0,0.10835821387509899,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,7128893484183252000.0,25,true,0.0,0.0997087802790481,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,1841142524168585220.0,25,true,0.0,0.08056910276437573,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,7240713591891685400.0,25,true,0.0,0.08127247016263665,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,8803618445054126100.0,25,true,0.0,0.08870887689958944,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,4398895106259038200.0,25,true,0.0,0.07991859030952315,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
clustering,heterogeneous,41,1,2,0.3,0.4,0.5,0.1,true,0.0,0.3,0.1,0.05,6905470370856337400.0,25,true,0.0,0.09780669500353922,0.00000360474343644,0.00000208096373615,1,2,0.09999999999999998,0.0,0.3
