model_type,use_heterogeneous_agents,cor_convergence,cor_homophily,cor_confidence,cor_repulsion_strength,cor_repulsion_threshold
bipolarization,false,0.07252227691589604,0.35085245372658486,0.0019425292942559568,-0.32926253788411297,-0.28865255419987723
bipolarization,true,0.09298818287886472,0.10623884428860636,0.1368120836647303,3.637472207625676e-4,-0.027637790676150336
clustering,false,0.21033618031763418,0.0832968081590123,-0.0126560703679619,-0.21006061338346665,-0.039232858098437434
clustering,true,-0.1425211087163184,0.14817868480126684,-0.09030248429318861,-0.014978577475719327,-0.216272891569765
consensus,false,0.4060362386634753,0.2582836908686152,-0.32559750749994454,-0.27791747448847653,-0.13126369620630676
consensus,true,0.12872196226623445,0.08851816338346248,0.012499231216348375,0.031298056891138584,0.0014200430993577219
