Model,Best_Mae,Best_Heterogeneous_mae,Best_Homogeneous_mae,Winner
Consensus,0.08617956045765356,0.0965501531608448,0.08617956045765356,X
Clustering,0.09857534195456796,0.10034897546803971,0.09857534195456796,
Bipolarization,0.09913610690454236,0.09979880207772283,0.09913610690454236,
