model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,seed,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
clustering,heterogeneous,35,M34,clst_ndist_speak,false,true,8636175130330607600.0,0,0,0.02,0.6,0.0,0.0,0.05,0.1,0.1,0.05,25,0.03352094317986969,0.02697117012579802,0.02612162550393528,0.01834708851057824,3,4,0.0,0.0
clustering,homogeneous,9,H21,clst_ndist_speak,false,true,6905470370856337400.0,0,0,0.005,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00128224062821502,0.0369556750961028,0.00123065453068135,0.00068957370351218,1,1,0.0,0.0
bipolarization,homogeneous,3,H14,bipol_dist_speak,true,true,7139002048363152400.0,0,0,0.02,0.3,0.7,0.05,0.0,0.02,0.02,0.02,20,0.00370154361175412,0.04154646707678321,0.00218814781695472,0.00164444552988452,2,2,0.39999999999999997,0.0
clustering,heterogeneous,14,M1,clst_ndist_nospeak,false,false,8636175130330607600.0,0,0,0.02,0.3,0.0,0.0,0.05,0.1,0.1,0.05,90,0.0306388856143309,0.14665660196672828,0.00096321583676355,0.00072409882263256,2,3,0.0,0.0
clustering,homogeneous,11,H4,clst_dist_nospeak,true,false,8636175130330607600.0,0,0,0.02,0.3,0.0,0.0,0.02,0.02,0.0,0.0,30,0.00232084297839506,0.04604164709535163,0.00022061543170168,0.00019227778217343,2,2,0.0,0.0
bipolarization,heterogeneous,37,M36,bipol_ndist_nospeak,false,false,6905470370856337400.0,0,0,0.02,0.1,0.5,0.2,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.04166666666666653,0.02855030368548523,0.01334445641146547,4,4,0.4,0.0
bipolarization,heterogeneous,37,M36,bipol_dist_speak,true,true,6905470370856337400.0,0,0,0.01,0.2,0.4,0.1,0.005,0.01,0.03,0.005,35,0.02855030368548523,0.3191550925925927,0.23793035714838082,0.22222222222222224,2,4,0.2,2.0
consensus,homogeneous,2,H12,cons_dist_speak,true,true,7240713591891685400.0,0,0,0.005,0.0,0.0,0.0,0.01,0.0,0.0,0.0,15,0.00771504468878602,0.042175594379294,0.00704499794547286,0.00620571425305241,3,3,0.0,0.0
clustering,heterogeneous,35,M34,clst_ndist_speak,false,true,6905470370856337400.0,0,0,0.02,0.6,0.0,0.0,0.05,0.1,0.1,0.05,30,0.03352094317986969,0.03013645509360343,0.02440662879544752,0.01794812506631622,4,4,0.0,0.0
bipolarization,heterogeneous,21,M18,bipol_dist_speak,true,true,4692690466958798800.0,0,0,0.01,0.3,0.7,0.1,0.005,0.01,0.01,0.0,15,0.00977608125904969,0.03446215481966382,0.00873969805057869,0.00645283805061394,3,3,0.39999999999999997,0.0
bipolarization,homogeneous,12,H5,bipol_ndist_speak,false,true,8636175130330607600.0,0,0,0.02,0.2,0.5,0.2,0.05,0.1,0.1,0.05,15,0.00413376628943758,0.04449514253162085,0.00297600319644396,0.0019539511034631,3,3,0.3,0.0
clustering,heterogeneous,37,M36,clst_dist_nospeak,true,false,7240713591891685400.0,0,0,0.005,0.6,0.0,0.0,0.005,0.01,0.0,0.0,90,0.02855030368548523,0.13665683792775515,0.00250939040993877,0.00120953922637246,2,4,0.0,0.0
clustering,heterogeneous,37,M36,clst_dist_speak,true,true,4692690466958798800.0,0,0,0.05,0.5,0.0,0.0,0.01,0.01,0.0,0.0,35,0.02855030368548523,0.08037968716588828,0.0133366904971615,0.0056854811852089,4,4,0.0,0.0
bipolarization,homogeneous,10,H3,bipol_ndist_speak,false,true,8636175130330607600.0,0,0,0.005,0.3,0.4,0.05,0.05,0.1,0.1,0.05,15,0.01398999086696009,0.07526199336174873,0.01312325810558592,0.00801720144292027,4,4,0.10000000000000003,0.0
clustering,heterogeneous,22,M2,clst_ndist_speak,false,true,7240713591891685400.0,0,0,0.005,0.6,0.0,0.0,0.05,0.1,0.1,0.05,15,0.03720528978052128,0.04488922865796355,0.03573787397987059,0.02300003100994052,4,4,0.0,0.0
clustering,heterogeneous,30,M28,clst_ndist_nospeak,false,false,6905470370856337400.0,0,0,0.02,0.5,0.0,0.0,0.05,0.1,0.1,0.05,70,0.02593274109975132,0.10583492436972482,0.00059712391741901,0.00034423540043472,1,3,0.0,0.0
bipolarization,homogeneous,11,H4,bipol_ndist_speak,false,true,6905470370856337400.0,0,0,0.01,0.3,0.7,0.2,0.05,0.1,0.1,0.05,15,0.00232084297839506,0.0555964149594623,0.00195293600825475,0.00100286662901219,2,2,0.39999999999999997,0.0
