model_type,current_condition,selected_debate_id,debate_label,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,use_distinct_agents,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,seed,convergence_cycle,speaking_mode,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs,current_experiment_id
consensus,heterogeneous,13,M14,3,3,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3299895173562800100.0,15,false,0.0108926683241884,0.08700417253705206,0.00000035855410576,0.0000002901104223,1,4,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,8046790094384007200.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3008069215328862200.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,2040693430813089790.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4029181368031619100.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,7806294296648646700.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,40402427797069824.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,2762184992758753300.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,4250442819423156200.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
consensus,heterogeneous,35,M33,2,2,0.3,0.0,0.0,0.0,false,0.05,0.1,0.1,0.05,3237022581511236600.0,15,false,0.01846828382201646,0.11720347967965888,0.00000069153900484,0.0000003707534478,1,3,0.0,0.0,cons_ndist_nospeak
