model_type,current_condition,selected_debate_id,pro_count,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4692690466958798800.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,1831297316135118850.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,115109577693645824.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,2787618399357031400.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7139002048363152400.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,109591146466576384.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7139002048363152400.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,4692690466958798800.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,7240713591891685400.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,4477927936947039200.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,7924300342041792500.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,51,3,3,0.5,0.6,0.5,0.1,8636175130330607600.0,35,0.14868289123521228,0.00002073766563142,0.0000209429879658,2,4,-0.09999999999999998,0.0
consensus,heterogeneous,36,2,2,0.1,0.2,0.8,0.2,1841142524168585220.0,40,0.14605990051613266,0.0000523212047606,0.00005079522940644,1,3,0.6000000000000001,0.0
