model_type,current_condition,selected_debate_id,debate_label,current_experiment_id,use_distinct_agents,speaking_mode,pro_count,seed,anti_count,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,convergence_rate_sd,confidence_threshold_sd,repulsion_threshold_sd,repulsion_strength_sd,convergence_cycle,initial_variance,mae,opinion_variance,polarization_index,num_clusters,initial_num_clusters,neutral_zone_width,mean_net_repulsion_abs
consensus,heterogeneous,15,M20,cons_dist_speak,true,true,0,4692690466958798800.0,0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,35,0.01619926630551272,0.15426738044293642,0.00003214897989406,0.00000642230373364,1,3,0.0,0.0
consensus,heterogeneous,18,M24,cons_dist_speak,true,true,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25,0.00943876457475996,0.07618414158079125,0.00000727925641984,0.00000140713504651,1,3,0.0,0.0
clustering,homogeneous,33,H15,clst_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.5,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00240269204389574,0.04410486455504146,0.00000000006829704,0.00000000000000922,1,3,0.0,0.0
consensus,homogeneous,10,H5,cons_dist_nospeak,true,false,0,7240713591891685400.0,0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,35,0.00413376628943758,0.07136382399903325,0.00012546936659984,0.00008237871815995,1,3,0.0,0.0
no_change,heterogeneous,35,M33,no_change_exp,false,false,0,8636175130330607600.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01846828382201646,0.02343749999999999,0.01846828382201646,0.01452519504458163,3,3,0.0,0.0
clustering,homogeneous,24,H12,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.1,0.2,0.0,0.0,0.2,0.0,0.0,0.0,50,0.00771504468878602,0.08350253583311244,0.00047337283200492,0.00029685202648296,1,3,0.0,0.0
clustering,heterogeneous,9,M9,clst_ndist_speak,false,true,0,7139002048363152400.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,25,0.01965549714934841,0.1067913780123107,0.00002133432530782,0.0000025005215976,1,3,0.0,0.0
clustering,heterogeneous,18,M24,clst_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.05,0.2,0.0,0.0,0.05,0.1,0.1,0.05,40,0.00943876457475996,0.0777990045965319,0.00005153432532224,0.00003271148972526,1,3,0.0,0.0
no_change,homogeneous,29,H14,no_change_exp,false,false,0,6905470370856337400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0
consensus,heterogeneous,15,M20,cons_dist_speak,true,true,0,7139002048363152400.0,0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,35,0.01619926630551272,0.15473233367020123,0.00002440775870649,0.00000477312216371,1,3,0.0,0.0
clustering,heterogeneous,9,M9,clst_ndist_speak,false,true,0,8636175130330607600.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,25,0.01965549714934841,0.1067913780123107,0.00002133432530782,0.0000025005215976,1,3,0.0,0.0
consensus,homogeneous,29,H14,cons_dist_nospeak,true,false,0,4692690466958798800.0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.00370154361175412,0.06419535679999598,0.00000027634534577,0.00000000141159956,1,2,0.0,0.0
consensus,heterogeneous,18,M24,cons_dist_nospeak,true,false,0,7139002048363152400.0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.00943876457475996,0.07459740241903691,0.00016015497944203,0.00010102606748364,1,3,0.0,0.0
consensus,heterogeneous,28,M18,cons_ndist_speak,false,true,0,7240713591891685400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.00977608125904969,0.09984146006449202,0.00000083165701751,0.00000063206401832,1,3,0.0,0.0
no_change,heterogeneous,8,M8,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01257559672531565,0.04464285714285715,0.01257559672531565,0.00949785242457752,4,4,0.0,0.0
clustering,heterogeneous,12,M13,clst_dist_nospeak,true,false,0,6905470370856337400.0,0,0.2,0.3,0.0,0.0,0.2,0.1,0.0,0.0,35,0.03278937715525453,0.18503888329448803,0.00002324332498385,0.00001084740996992,1,5,0.0,0.0
consensus,heterogeneous,1,M1,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0306388856143309,0.1749579043360641,0.00003202204380024,0.00000066911095949,1,3,0.0,0.0
clustering,homogeneous,29,H14,clst_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.4,0.2,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00370154361175412,0.06423430926190657,0.00000000451795772,0.00000000000249069,1,2,0.0,0.0
clustering,heterogeneous,18,M24,clst_ndist_nospeak,false,false,0,7240713591891685400.0,0,0.05,0.2,0.0,0.0,0.05,0.1,0.1,0.05,40,0.00943876457475996,0.0777990045965319,0.00005153432532224,0.00003271148972526,1,3,0.0,0.0
consensus,heterogeneous,9,M9,cons_ndist_speak,false,true,0,7139002048363152400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.01965549714934841,0.10753128520096392,0.00000167210477325,0.00000099546484287,1,3,0.0,0.0
consensus,heterogeneous,9,M9,cons_ndist_speak,false,true,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.01965549714934841,0.10753128520096394,0.00000167210477325,0.00000099546484287,1,3,0.0,0.0
clustering,heterogeneous,9,M9,clst_ndist_speak,false,true,0,6905470370856337400.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,25,0.01965549714934841,0.1067913780123107,0.00002133432530782,0.0000025005215976,1,3,0.0,0.0
consensus,heterogeneous,43,M36,cons_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.02855030368548523,0.18072881406936842,0.00000235677345512,0.00000001770104122,1,4,0.0,0.0
no_change,heterogeneous,15,M20,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01619926630551272,0.0318287037037035,0.01619926630551272,0.01080637627886375,3,3,0.0,0.0
consensus,homogeneous,29,H14,cons_dist_nospeak,true,false,0,6905470370856337400.0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.00370154361175412,0.06419535679999598,0.00000027634534577,0.00000000141159956,1,2,0.0,0.0
consensus,heterogeneous,1,M1,cons_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0306388856143309,0.1749579043360641,0.00003202204380024,0.00000066911095949,1,3,0.0,0.0
clustering,heterogeneous,15,M20,clst_ndist_speak,false,true,0,7240713591891685400.0,0,0.2,0.4,0.0,0.0,0.05,0.1,0.1,0.05,35,0.01619926630551272,0.15486115341375895,0.00002357930120567,0.00000548454703448,1,3,0.0,0.0
consensus,homogeneous,40,H18,cons_dist_speak,true,true,0,4692690466958798800.0,0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20,0.00975649903013544,0.12400324839618704,0.00000047807875866,0.0000004147757615,1,2,0.0,0.0
clustering,heterogeneous,18,M24,clst_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.05,0.2,0.0,0.0,0.05,0.1,0.1,0.05,40,0.00943876457475996,0.0777990045965319,0.00005153432532224,0.00003271148972526,1,3,0.0,0.0
no_change,homogeneous,29,H14,no_change_exp,false,false,0,4692690466958798800.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.00370154361175412,0.0465856481481481,0.00370154361175412,0.00276465721926917,2,2,0.0,0.0
consensus,homogeneous,29,H14,cons_dist_nospeak,true,false,0,8636175130330607600.0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.00370154361175412,0.06419535679999598,0.00000027634534577,0.00000000141159956,1,2,0.0,0.0
consensus,heterogeneous,28,M18,cons_ndist_speak,false,true,0,4692690466958798800.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.00977608125904969,0.099841460064492,0.00000083165701751,0.00000063206401832,1,3,0.0,0.0
consensus,homogeneous,40,H18,cons_dist_speak,true,true,0,6905470370856337400.0,0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20,0.00975649903013544,0.1195017433093826,0.00000075441563252,0.00000076995949841,1,2,0.0,0.0
consensus,heterogeneous,12,M13,cons_ndist_nospeak,false,false,0,8636175130330607600.0,0,0.2,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.03278937715525453,0.16526025994861845,0.00000531263431636,0.00000367396353536,1,5,0.0,0.0
clustering,heterogeneous,9,M9,clst_ndist_speak,false,true,0,4692690466958798800.0,0,0.3,0.4,0.0,0.0,0.05,0.1,0.1,0.05,25,0.01965549714934841,0.10679137801231073,0.00002133432530782,0.0000025005215976,1,3,0.0,0.0
consensus,heterogeneous,14,M15,cons_ndist_speak,false,true,0,8636175130330607600.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.02458731638660266,0.12365136651158638,0.00000209165755407,0.00000135497786292,1,5,0.0,0.0
consensus,heterogeneous,18,M24,cons_dist_nospeak,true,false,0,4692690466958798800.0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.00943876457475996,0.07459740241903691,0.00016015497944203,0.00010102606748364,1,3,0.0,0.0
no_change,heterogeneous,8,M8,no_change_exp,false,false,0,7139002048363152400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01257559672531565,0.04464285714285715,0.01257559672531565,0.00949785242457752,4,4,0.0,0.0
consensus,heterogeneous,1,M1,cons_ndist_nospeak,false,false,0,4692690466958798800.0,0,0.3,0.0,0.0,0.0,0.05,0.1,0.1,0.05,15,0.0306388856143309,0.1749579043360641,0.00003202204380024,0.00000066911095949,1,3,0.0,0.0
consensus,heterogeneous,27,M16,cons_dist_speak,true,true,0,8636175130330607600.0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.01252610529728226,0.14327250179357473,0.00006693045811766,0.00004380918619404,1,3,0.0,0.0
clustering,homogeneous,33,H15,clst_ndist_nospeak,false,false,0,6905470370856337400.0,0,0.5,0.3,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00240269204389574,0.04410486455504146,0.00000000006829704,0.00000000000000922,1,3,0.0,0.0
no_change,heterogeneous,35,M33,no_change_exp,false,false,0,7240713591891685400.0,0,0.2,0.5,0.6,0.1,0.05,0.1,0.1,0.05,15,0.01846828382201646,0.02343749999999999,0.01846828382201646,0.01452519504458163,3,3,0.0,0.0
consensus,heterogeneous,14,M15,cons_ndist_speak,false,true,0,4692690466958798800.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.02458731638660266,0.12365136651158644,0.00000209165755407,0.00000135497786292,1,5,0.0,0.0
consensus,heterogeneous,14,M15,cons_ndist_speak,false,true,0,7240713591891685400.0,0,0.4,0.0,0.0,0.0,0.05,0.1,0.1,0.05,20,0.02458731638660266,0.12365136651158637,0.00000209165755407,0.00000135497786292,1,5,0.0,0.0
clustering,homogeneous,29,H14,clst_ndist_nospeak,false,false,0,7139002048363152400.0,0,0.4,0.2,0.0,0.0,0.05,0.1,0.1,0.05,15,0.00370154361175412,0.06423430926190657,0.00000000451795772,0.00000000000249069,1,2,0.0,0.0
consensus,homogeneous,40,H18,cons_dist_speak,true,true,0,8636175130330607600.0,0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,20,0.00975649903013544,0.1444394452585102,0.00000051961554484,0.00000045978528243,1,2,0.0,0.0
