profile,model_type,mean_change,mean_error,n
Malleable,consensus,0.09648709145241789,0.06546857293389954,75
Moderate,bipolarization,0.09803167483681416,0.10492665711585004,3255
Moderate,clustering,0.08589665280483734,0.09061623553442594,3510
Moderate,consensus,0.0979963925045696,0.10136850701426221,3240
Stubborn,bipolarization,0.07117552411101931,0.07121744136579394,480
Stubborn,clustering,0.09548280813400643,0.08651211221477988,210
Stubborn,consensus,0.08770747288985824,0.08521834984753161,420
