pro_reduction,model_type,mean_change,mean_error
0,bipolarization,0.07947364229388633,0.08294345493249518
0,clustering,0.07445551369983852,0.07536099472037493
0,consensus,0.08036198286828818,0.08033716100298745
1,bipolarization,0.1310017694166753,0.1431506116400783
1,clustering,0.1181556412387808,0.1301527887705162
1,consensus,0.13646241773077308,0.14342073751993467
