model_type,use_heterogeneous_agents,mae_mean,mae_median,mae_sd,n
bipolarization,false,0.09913610690454236,0.0784411223541227,0.08134952497383277,375
bipolarization,true,0.09979880207772283,0.0991097415188676,0.042004729067869964,375
clustering,false,0.08617956045765356,0.0784411223541228,0.03623300300265247,375
clustering,true,0.0965501531608448,0.0817960189085265,0.03991877267617915,375
consensus,false,0.09857534195456796,0.0929969650450615,0.04417216577281919,375
consensus,true,0.10034897546803971,0.0986145393769997,0.041302237974142494,375
