model_type,current_condition,selected_debate_id,debate_label,agent_id,pro_reduction,pro_count,anti_count,subfactor_1_t1,subfactor_2_t1,subfactor_3_t1,subfactor_4_t1,subfactor_5_t1,initial_opinion,initial_variance,opinion,subfactor_1_t2,subfactor_2_t2,subfactor_3_t2,subfactor_4_t2,subfactor_5_t2,final_attitude,mean_t2_subfactors,opinion_change,individual_error,error_sub1,error_sub2,error_sub3,error_sub4,error_sub5,agent_convergence_rate,agent_confidence_threshold,agent_repulsion_threshold,agent_repulsion_strength,convergence_rate,confidence_threshold,repulsion_threshold,repulsion_strength,seed,convergence_cycle,use_distinct_agents,current_experiment_id,speaking_mode
consensus,heterogeneous,27,M16,178,1,0,0,0.694444444444445,0.75,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.6250000000000001,0.01252610529728226,0.5158115288987141,0.944444444444445,1.0,0.6666666666666666,0.6111111111111116,0.11111111111111167,0.7546296296296301,0.666666666666667,-0.10918847110128604,0.23881810073091603,0.4286329155457309,0.48418847110128593,0.15085513776795256,0.09529958221239754,0.4047004177876024,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,216510288543668224.0,15,false,nil,false
consensus,heterogeneous,27,M16,179,1,0,0,0.6111111111111116,0.875,0.25,0.7222222222222218,0.38888888888888834,0.6446759259259262,0.01252610529728226,0.515605988328686,0.7222222222222218,0.9166666666666666,0.125,0.7222222222222218,0.3333333333333333,0.7129629629629634,0.5638888888888888,-0.12906993759724017,0.19735697463427737,0.20661623389353578,0.40106067833798065,0.390605988328686,0.20661623389353578,0.18227265499535267,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,216510288543668224.0,15,false,nil,false
consensus,heterogeneous,27,M16,180,0,0,0,0.5,0.5,0.75,0.7222222222222218,0.38888888888888834,0.43981481481481494,0.01252610529728226,0.5143280534308629,0.5277777777777782,0.4583333333333333,0.625,0.8333333333333334,0.22222222222222165,0.4664351851851852,0.5333333333333334,0.07451323861604792,0.04789286824567768,0.01344972434691538,0.05599472009752954,0.11067194656913715,0.3190052799024705,0.2921058312086412,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,216510288543668224.0,15,false,nil,false
consensus,heterogeneous,27,M16,181,0,0,0,0.38888888888888834,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.3888888888888887,0.01252610529728226,0.5142946552301952,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3958333333333333,0.5833333333333333,0.12540576634130657,0.11846132189686193,0.26429465523019524,0.1523720114364714,0.1523720114364714,0.1523720114364714,0.1523720114364714,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,216510288543668224.0,15,false,nil,false
consensus,heterogeneous,27,M16,178,1,0,0,0.694444444444445,0.75,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.6250000000000001,0.01252610529728226,0.5158115288987141,0.944444444444445,1.0,0.6666666666666666,0.6111111111111116,0.11111111111111167,0.7546296296296301,0.666666666666667,-0.10918847110128604,0.23881810073091603,0.4286329155457309,0.48418847110128593,0.15085513776795256,0.09529958221239754,0.4047004177876024,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6166944845863706600.0,15,false,nil,false
consensus,heterogeneous,27,M16,179,1,0,0,0.6111111111111116,0.875,0.25,0.7222222222222218,0.38888888888888834,0.6446759259259262,0.01252610529728226,0.515605988328686,0.7222222222222218,0.9166666666666666,0.125,0.7222222222222218,0.3333333333333333,0.7129629629629634,0.5638888888888888,-0.12906993759724017,0.19735697463427737,0.20661623389353578,0.40106067833798065,0.390605988328686,0.20661623389353578,0.18227265499535267,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6166944845863706600.0,15,false,nil,false
consensus,heterogeneous,27,M16,180,0,0,0,0.5,0.5,0.75,0.7222222222222218,0.38888888888888834,0.43981481481481494,0.01252610529728226,0.5143280534308629,0.5277777777777782,0.4583333333333333,0.625,0.8333333333333334,0.22222222222222165,0.4664351851851852,0.5333333333333334,0.07451323861604792,0.04789286824567768,0.01344972434691538,0.05599472009752954,0.11067194656913715,0.3190052799024705,0.2921058312086412,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6166944845863706600.0,15,false,nil,false
consensus,heterogeneous,27,M16,181,0,0,0,0.38888888888888834,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.3888888888888887,0.01252610529728226,0.5142946552301952,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3958333333333333,0.5833333333333333,0.12540576634130657,0.11846132189686193,0.26429465523019524,0.1523720114364714,0.1523720114364714,0.1523720114364714,0.1523720114364714,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6166944845863706600.0,15,false,nil,false
consensus,heterogeneous,27,M16,178,1,0,0,0.694444444444445,0.75,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.6250000000000001,0.01252610529728226,0.5158115288987141,0.944444444444445,1.0,0.6666666666666666,0.6111111111111116,0.11111111111111167,0.7546296296296301,0.666666666666667,-0.10918847110128604,0.23881810073091603,0.4286329155457309,0.48418847110128593,0.15085513776795256,0.09529958221239754,0.4047004177876024,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5463770102705018900.0,15,false,nil,false
consensus,heterogeneous,27,M16,179,1,0,0,0.6111111111111116,0.875,0.25,0.7222222222222218,0.38888888888888834,0.6446759259259262,0.01252610529728226,0.515605988328686,0.7222222222222218,0.9166666666666666,0.125,0.7222222222222218,0.3333333333333333,0.7129629629629634,0.5638888888888888,-0.12906993759724017,0.19735697463427737,0.20661623389353578,0.40106067833798065,0.390605988328686,0.20661623389353578,0.18227265499535267,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5463770102705018900.0,15,false,nil,false
consensus,heterogeneous,27,M16,180,0,0,0,0.5,0.5,0.75,0.7222222222222218,0.38888888888888834,0.43981481481481494,0.01252610529728226,0.5143280534308629,0.5277777777777782,0.4583333333333333,0.625,0.8333333333333334,0.22222222222222165,0.4664351851851852,0.5333333333333334,0.07451323861604792,0.04789286824567768,0.01344972434691538,0.05599472009752954,0.11067194656913715,0.3190052799024705,0.2921058312086412,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5463770102705018900.0,15,false,nil,false
consensus,heterogeneous,27,M16,181,0,0,0,0.38888888888888834,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.3888888888888887,0.01252610529728226,0.5142946552301952,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3958333333333333,0.5833333333333333,0.12540576634130657,0.11846132189686193,0.26429465523019524,0.1523720114364714,0.1523720114364714,0.1523720114364714,0.1523720114364714,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5463770102705018900.0,15,false,nil,false
consensus,heterogeneous,27,M16,178,1,0,0,0.694444444444445,0.75,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.6250000000000001,0.01252610529728226,0.5158115288987141,0.944444444444445,1.0,0.6666666666666666,0.6111111111111116,0.11111111111111167,0.7546296296296301,0.666666666666667,-0.10918847110128604,0.23881810073091603,0.4286329155457309,0.48418847110128593,0.15085513776795256,0.09529958221239754,0.4047004177876024,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,374382395795942400.0,15,false,nil,false
